categorie;naam;straat;postcode;stad;provincie;website;source
"MET_NAAM_ONVOLLEDIG_ADRES";"META architectuurbureau";"Grote Kraaiwijk 3";"";"";"";"https://meta.be/nl";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Arkkitehtitoimisto Bas Gremmen";"";"";"";"";"http://www.gremmen.fi";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Rapp+Rapp";"De Keyserlei 60C";"";"";"";"https://www.rappenrapp.com";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Supermodern";"Oberweg 12";"";"";"";"http://www.supermodern.nl";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Modulo Architects en KhôZé Architecture";"Tweehuizenweg 695";"";"";"";"http://www.modulo-architects.be";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"ir. Tycho Saariste";"- -1";"";"";"";"http://www.saariste.nl";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Bolles+Wilson";"Hafenweg 16";"";"";"";"http://www.bolles-wilson.de/";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"B2Ai";"Jakob Jordaensstraat 18A";"";"";"";"";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"kplus konzept GmbH";"Stoffeler Straße 14";"";"";"";"";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"H-Architects";"Lange Leemstraat 82";"";"";"";"http://www.h-architects.be";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"stam architecten";"Lodewijk van Berckenlaan 185";"";"";"";"http://www.stam.be";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Abscis Architecten";"Jean-Baptiste de Ghellincklaan 2";"";"";"";"https://www.abscis-architecten.be/nl";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"B-architecten, B-bis & B-city";"Borgerhoutsestraat 221";"";"";"";"http://www.b-architecten.be/";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Kadawittfeldarchitektur gbr";"Aureliusstr. 2";"";"";"";"http://www.kadawittfeldarchitektur.de";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Van Damme - Vandeputte architecten";"Sint-Amandsstraat 92";"";"";"";"https://www.vandammevandeputte.com/";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"ARCHITENKO";"Dieudonné Lefèvrestraat 17";"";"";"";"https://www.architenko.com";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"LH_architecten";"Burggravenstraat 70";"";"";"";"https://www.leenheyrman.be";"Architectenweb"
"MET_NAAM_ONVOLLEDIG_ADRES";"Hub cvba";"Rijnkaai 22201";"";"";"";"http://www.hub.eu";"Architectenweb"
